HOUR,YEAR,MONTH,MONTH_NAME,DAY,DAY_OF_WEEK,DAY_NAME,HOUR_OF_DAY,SEASON,IS_WEEKEND,IS_PUBLIC_HOLIDAY,TOTALDEMAND,RRP,ALLSKY_IRRADIANCE,CLRSKY_IRRADIANCE,CLEARNESS_IDX,TEMP_2M,REL_HUMIDITY,WIND_SPEED,CASH_RATE_TARGET,ROOFTOP_SOLAR_MW,RRP_LAG_1H,RRP_LAG_3H,RRP_LAG_24H
1/1/2018 00:00,2018,1,January,1,0,Monday,0,Summer,0,1,6912.250,91.860,0.000,0.000,0.000,21.540,84.690,4.570,1.500,0.000,,,
1/1/2018 01:00,2018,1,January,1,0,Monday,1,Summer,0,1,6605.845,81.225,0.000,0.000,0.000,21.320,86.150,3.850,1.500,0.000,91.860,,
1/1/2018 02:00,2018,1,January,1,0,Monday,2,Summer,0,1,6228.555,70.380,0.000,0.000,0.000,21.090,87.900,3.170,1.500,0.000,81.225,,
1/1/2018 03:00,2018,1,January,1,0,Monday,3,Summer,0,1,6041.455,69.055,0.000,0.000,0.000,20.900,89.430,2.620,1.500,0.000,70.380,91.860,
1/1/2018 04:00,2018,1,January,1,0,Monday,4,Summer,0,1,5961.125,67.335,0.000,0.000,0.000,20.770,90.410,2.290,1.500,0.000,69.055,81.225,
1/1/2018 05:00,2018,1,January,1,0,Monday,5,Summer,0,1,5976.935,66.665,69.030,72.350,0.390,21.150,88.480,1.860,1.500,0.000,67.335,70.380,
1/1/2018 06:00,2018,1,January,1,0,Monday,6,Summer,0,1,6133.450,64.075,260.830,272.400,0.570,22.060,82.820,1.440,1.500,0.000,66.665,69.055,
1/1/2018 07:00,2018,1,January,1,0,Monday,7,Summer,0,1,6450.305,68.720,470.150,471.670,0.650,23.130,76.390,0.800,1.500,0.000,64.075,67.335,
1/1/2018 08:00,2018,1,January,1,0,Monday,8,Summer,0,1,6806.695,68.940,696.850,699.000,0.720,24.090,73.040,0.390,1.500,0.000,68.720,66.665,
1/1/2018 09:00,2018,1,January,1,0,Monday,9,Summer,0,1,7181.205,71.630,872.780,878.220,0.750,24.800,71.860,1.050,1.500,0.000,68.940,64.075,
1/1/2018 10:00,2018,1,January,1,0,Monday,10,Summer,0,1,7569.250,75.175,957.050,1005.280,0.730,25.390,68.630,1.910,1.500,0.000,71.630,68.720,
1/1/2018 11:00,2018,1,January,1,0,Monday,11,Summer,0,1,7789.260,79.295,1020.400,1062.600,0.740,25.680,66.380,2.850,1.500,0.000,75.175,68.940,
1/1/2018 12:00,2018,1,January,1,0,Monday,12,Summer,0,1,7810.215,70.975,1028.050,1057.700,0.750,25.570,65.830,4.170,1.500,0.000,79.295,71.630,
1/1/2018 13:00,2018,1,January,1,0,Monday,13,Summer,0,1,7919.990,80.195,961.280,990.470,0.740,25.010,68.250,5.530,1.500,0.000,70.975,75.175,
1/1/2018 14:00,2018,1,January,1,0,Monday,14,Summer,0,1,8045.710,85.010,788.200,863.420,0.690,24.310,72.140,6.210,1.500,0.000,80.195,79.295,
1/1/2018 15:00,2018,1,January,1,0,Monday,15,Summer,0,1,8287.990,84.800,652.120,686.250,0.690,23.640,75.360,6.310,1.500,0.000,85.010,70.975,
1/1/2018 16:00,2018,1,January,1,0,Monday,16,Summer,0,1,8556.835,92.945,428.020,473.270,0.610,23.020,77.780,5.810,1.500,0.000,84.800,80.195,
1/1/2018 17:00,2018,1,January,1,0,Monday,17,Summer,0,1,8720.395,86.645,221.430,245.050,0.510,22.370,80.420,4.990,1.500,0.000,92.945,85.010,
1/1/2018 18:00,2018,1,January,1,0,Monday,18,Summer,0,1,8602.230,76.350,49.780,54.900,0.330,21.620,84.010,4.180,1.500,0.000,86.645,84.800,
1/1/2018 19:00,2018,1,January,1,0,Monday,19,Summer,0,1,8234.375,73.090,0.000,0.000,0.000,21.060,87.500,3.300,1.500,0.000,76.350,92.945,
1/1/2018 20:00,2018,1,January,1,0,Monday,20,Summer,0,1,8141.860,77.930,0.000,0.000,0.000,20.840,89.200,2.690,1.500,0.000,73.090,86.645,
1/1/2018 21:00,2018,1,January,1,0,Monday,21,Summer,0,1,7908.930,70.365,0.000,0.000,0.000,20.810,88.880,2.390,1.500,0.000,77.930,76.350,
1/1/2018 22:00,2018,1,January,1,0,Monday,22,Summer,0,1,7607.825,65.910,0.000,0.000,0.000,20.810,87.390,2.150,1.500,0.000,70.365,73.090,
1/1/2018 23:00,2018,1,January,1,0,Monday,23,Summer,0,1,7229.815,62.605,0.000,0.000,0.000,20.680,87.210,1.960,1.500,0.000,65.910,77.930,
2/1/2018 00:00,2018,1,January,2,1,Tuesday,0,Summer,0,0,6902.350,57.605,0.000,0.000,0.000,20.550,87.410,2.010,1.500,0.000,62.605,70.365,91.860
2/1/2018 01:00,2018,1,January,2,1,Tuesday,1,Summer,0,0,6440.450,55.305,0.000,0.000,0.000,20.470,86.870,2.200,1.500,0.000,57.605,65.910,81.225
2/1/2018 02:00,2018,1,January,2,1,Tuesday,2,Summer,0,0,6085.165,54.405,0.000,0.000,0.000,20.440,86.010,2.360,1.500,0.000,55.305,62.605,70.380
2/1/2018 03:00,2018,1,January,2,1,Tuesday,3,Summer,0,0,5986.615,54.980,0.000,0.000,0.000,20.430,85.290,2.390,1.500,0.000,54.405,57.605,69.055
2/1/2018 04:00,2018,1,January,2,1,Tuesday,4,Summer,0,0,6105.755,53.725,0.000,0.000,0.000,20.430,84.470,2.350,1.500,0.969,54.980,55.305,67.335
2/1/2018 05:00,2018,1,January,2,1,Tuesday,5,Summer,0,0,6414.335,66.755,48.650,78.780,0.280,20.880,81.490,2.240,1.500,53.282,53.725,54.405,66.665
2/1/2018 06:00,2018,1,January,2,1,Tuesday,6,Summer,0,0,7001.565,66.655,173.750,279.800,0.380,21.700,76.230,2.120,1.500,170.997,66.755,54.980,64.075
2/1/2018 07:00,2018,1,January,2,1,Tuesday,7,Summer,0,0,7602.710,70.550,334.880,499.650,0.460,22.470,70.940,1.730,1.500,327.262,66.655,53.725,68.720
2/1/2018 08:00,2018,1,January,2,1,Tuesday,8,Summer,0,0,8055.150,73.435,544.500,705.450,0.560,23.310,66.240,1.430,1.500,509.951,70.550,66.755,68.940
2/1/2018 09:00,2018,1,January,2,1,Tuesday,9,Summer,0,0,8251.875,79.110,788.450,877.470,0.680,24.010,63.270,1.520,1.500,704.683,73.435,66.655,71.630
2/1/2018 10:00,2018,1,January,2,1,Tuesday,10,Summer,0,0,8383.495,75.265,949.000,1005.030,0.730,24.490,60.990,1.940,1.500,880.058,79.110,70.550,75.175
2/1/2018 11:00,2018,1,January,2,1,Tuesday,11,Summer,0,0,8505.125,80.320,987.080,1050.570,0.720,25.030,59.530,2.540,1.500,925.404,75.265,73.435,79.295
2/1/2018 12:00,2018,1,January,2,1,Tuesday,12,Summer,0,0,8753.645,84.635,992.400,1048.700,0.720,25.340,59.820,3.190,1.500,869.683,80.320,79.110,70.975
2/1/2018 13:00,2018,1,January,2,1,Tuesday,13,Summer,0,0,9021.580,86.650,860.650,981.250,0.660,25.330,60.600,4.050,1.500,706.596,84.635,75.265,80.195
2/1/2018 14:00,2018,1,January,2,1,Tuesday,14,Summer,0,0,9183.900,85.685,681.400,855.670,0.590,24.960,62.880,4.760,1.500,609.146,86.650,80.320,85.010
2/1/2018 15:00,2018,1,January,2,1,Tuesday,15,Summer,0,0,9325.300,88.630,431.020,680.380,0.450,24.370,66.400,4.870,1.500,353.166,85.685,84.635,84.800
2/1/2018 16:00,2018,1,January,2,1,Tuesday,16,Summer,0,0,9309.505,85.150,267.480,473.480,0.380,23.780,69.930,4.580,1.500,178.479,88.630,86.650,92.945
2/1/2018 17:00,2018,1,January,2,1,Tuesday,17,Summer,0,0,9096.685,78.895,140.020,255.550,0.320,23.220,73.310,4.140,1.500,83.654,85.150,85.685,86.645
2/1/2018 18:00,2018,1,January,2,1,Tuesday,18,Summer,0,0,8824.685,78.405,31.830,62.900,0.210,22.590,77.380,3.640,1.500,45.906,78.895,88.630,76.350
2/1/2018 19:00,2018,1,January,2,1,Tuesday,19,Summer,0,0,8542.810,76.350,0.000,0.000,0.000,22.180,81.160,3.110,1.500,1.298,78.405,85.150,73.090
2/1/2018 20:00,2018,1,January,2,1,Tuesday,20,Summer,0,0,8354.765,79.535,0.000,0.000,0.000,22.040,83.570,2.900,1.500,0.000,76.350,78.895,77.930
2/1/2018 21:00,2018,1,January,2,1,Tuesday,21,Summer,0,0,8111.210,68.835,0.000,0.000,0.000,21.900,85.680,2.690,1.500,0.000,79.535,78.405,70.365
