HOUR,YEAR,MONTH,MONTH_NAME,DAY,DAY_OF_WEEK,DAY_NAME,HOUR_OF_DAY,SEASON,IS_WEEKEND,IS_PUBLIC_HOLIDAY,TOTALDEMAND,RRP,ALLSKY_IRRADIANCE,CLRSKY_IRRADIANCE,CLEARNESS_IDX,TEMP_2M,REL_HUMIDITY,WIND_SPEED,CASH_RATE_TARGET,ROOFTOP_SOLAR_MW,RRP_LAG_1H,RRP_LAG_3H,RRP_LAG_24H,SOLAR_LAG_1H,SOLAR_LAG_24H,SOLAR_LAG_168H,SOLAR_ROLLING_6H_MEAN,SOLAR_ROLLING_24H_MAX,SOLAR_ROLLING_24H_MEAN,SOLAR_ROLLING_6H_STD,IS_SOLAR_HOUR,IS_DAWN_DUSK,IS_NIGHT
8/1/2018 00:00,2018,1,January,8,0,Monday,0,Summer,0,0,7766.23,68.165,0.0,0.0,0.0,21.6,94.48,4.52,1.5,0.0,72.45,77.8,59.445,0.0,0.0,0.0,0.0,1008.78,336.98583333333335,0.0,0,0,1
8/1/2018 01:00,2018,1,January,8,0,Monday,1,Summer,0,0,7184.05,66.305,0.0,0.0,0.0,21.51,92.98,4.18,1.5,0.0,68.165,76.145,61.355,0.0,0.0,0.0,0.0,1008.78,336.98583333333335,0.0,0,0,1
8/1/2018 02:00,2018,1,January,8,0,Monday,2,Summer,0,0,6777.065,54.73,0.0,0.0,0.0,21.66,90.99,3.63,1.5,0.0,66.305,72.45,54.995,0.0,0.0,0.0,0.0,1008.78,336.98583333333335,0.0,0,0,1
8/1/2018 03:00,2018,1,January,8,0,Monday,3,Summer,0,0,6742.605,54.915,0.0,0.0,0.0,21.79,89.45,2.87,1.5,0.0,54.73,68.165,54.66,0.0,0.0,0.0,0.0,1008.78,336.98583333333335,0.0,0,0,1
8/1/2018 04:00,2018,1,January,8,0,Monday,4,Summer,0,0,6886.71,55.13,0.0,0.0,0.0,22.07,87.62,2.04,1.5,0.265,54.915,66.305,53.83,0.0,0.0,0.0,0.0,1008.78,336.98583333333335,0.0,0,0,1
8/1/2018 05:00,2018,1,January,8,0,Monday,5,Summer,0,0,7312.385,63.35,35.35,62.97,0.23,22.75,83.99,1.22,1.5,29.45,55.13,54.73,52.07,0.0,67.68,69.03,5.891666666666667,1008.78,335.63875,14.431577067859665,0,0,0
8/1/2018 06:00,2018,1,January,8,0,Monday,6,Summer,0,0,8088.64,64.635,145.73,256.52,0.34,23.61,80.92,0.73,1.5,110.986,63.35,54.915,54.815,35.35,254.77,260.83,30.179999999999996,1008.78,331.09541666666667,58.34699820898191,0,0,0
8/1/2018 07:00,2018,1,January,8,0,Monday,7,Summer,0,0,8943.0,77.08,283.08,472.27,0.4,24.33,78.4,0.71,1.5,232.199,64.635,55.13,57.445,145.73,469.27,470.15,77.36,1008.78,323.33750000000003,115.51079966825179,0,1,0
8/1/2018 08:00,2018,1,January,8,0,Monday,8,Summer,0,0,9556.065,81.685,476.95,674.92,0.5,25.1,71.96,0.54,1.5,422.266,77.08,63.35,66.64,283.08,691.58,696.85,156.85166666666666,1008.78,314.39458333333334,191.0433313587935,0,1,0
8/1/2018 09:00,2018,1,January,8,0,Monday,9,Summer,0,0,9929.06,85.115,718.55,842.8,0.62,25.59,69.74,0.4,1.5,565.601,81.685,64.635,68.88,476.95,855.4,872.78,276.60999999999996,1008.78,308.6925,278.33001785649935,1,0,0
8/1/2018 10:00,2018,1,January,8,0,Monday,10,Summer,0,0,10309.255,88.485,794.75,962.35,0.61,26.28,66.51,1.38,1.5,626.779,85.115,77.08,77.91,718.55,986.92,957.05,409.0683333333333,1008.78,300.68541666666664,307.90345931260026,1,0,0
8/1/2018 11:00,2018,1,January,8,0,Monday,11,Summer,0,0,10681.24,97.33,885.5,1005.7,0.65,27.75,59.09,2.21,1.5,743.514,88.485,81.685,81.285,794.75,992.85,1020.4,550.76,1008.78,296.21250000000003,296.9462143890702,1,0,0
8/1/2018 12:00,2018,1,January,8,0,Monday,12,Summer,0,0,11026.095,98.675,912.15,1009.5,0.67,29.94,49.44,2.31,1.5,744.45,97.33,85.115,95.165,885.5,1008.78,1028.05,678.4966666666667,912.15,292.18625,248.81268710953321,1,0,0
8/1/2018 13:00,2018,1,January,8,0,Monday,13,Summer,0,0,11540.925,110.925,789.25,948.2,0.61,30.85,45.67,2.43,1.5,721.61,98.675,88.485,94.415,912.15,825.92,961.28,762.8583333333332,912.15,290.65833333333336,156.68400178916346,1,0,0
8/1/2018 14:00,2018,1,January,8,0,Monday,14,Summer,0,0,11836.355,104.145,562.45,828.22,0.49,29.69,50.88,3.22,1.5,571.071,110.925,97.33,99.025,789.25,727.53,788.2,777.1083333333335,912.15,283.78,126.45230886253756,1,0,0
8/1/2018 15:00,2018,1,January,8,0,Monday,15,Summer,0,0,12088.005,101.905,369.75,659.8,0.39,28.09,59.64,3.99,1.5,362.951,104.145,98.675,120.175,562.45,578.33,652.12,718.975,912.15,275.08916666666664,210.8012138247782,1,0,0
8/1/2018 16:00,2018,1,January,8,0,Monday,16,Summer,0,0,11999.05,102.795,177.85,456.42,0.25,26.71,68.66,4.49,1.5,200.942,101.905,110.925,128.21,369.75,379.23,428.02,616.1583333333333,912.15,266.6983333333333,298.60762618638256,0,1,0
8/1/2018 17:00,2018,1,January,8,0,Monday,17,Summer,0,0,11448.34,95.945,85.15,243.7,0.19,25.73,75.95,3.91,1.5,121.731,102.795,104.145,134.79,177.85,201.2,221.43,482.76666666666665,912.15,261.86291666666665,331.20913886344715,0,1,0
8/1/2018 18:00,2018,1,January,8,0,Monday,18,Summer,0,0,10969.72,90.25,17.17,58.42,0.11,24.84,82.76,2.04,1.5,34.968,95.945,101.905,102.065,85.15,48.2,49.78,333.6033333333333,912.15,260.57,299.1352461122995,0,0,0
8/1/2018 19:00,2018,1,January,8,0,Monday,19,Summer,0,0,10526.79,90.37,0.0,0.0,0.0,23.98,89.36,1.54,1.5,0.675,90.25,102.795,104.885,17.17,0.0,0.0,202.06166666666664,912.15,260.57,222.38143631307412,0,0,1
8/1/2018 20:00,2018,1,January,8,0,Monday,20,Summer,0,0,10221.69,90.795,0.0,0.0,0.0,23.49,92.66,3.3,1.5,0.0,90.37,95.945,89.57,0.0,0.0,0.0,108.32,912.15,260.57,145.25266400310542,0,0,1
8/1/2018 21:00,2018,1,January,8,0,Monday,21,Summer,0,0,9637.4,87.345,0.0,0.0,0.0,23.22,95.16,3.7,1.5,0.0,90.795,90.25,77.8,0.0,0.0,0.0,46.695,912.15,260.57,72.24045369458135,0,0,1
8/1/2018 22:00,2018,1,January,8,0,Monday,22,Summer,0,0,9017.385,81.275,0.0,0.0,0.0,23.17,96.13,3.07,1.5,0.0,87.345,90.37,76.145,0.0,0.0,0.0,17.053333333333335,912.15,260.57,34.06004795454019,0,0,1
8/1/2018 23:00,2018,1,January,8,0,Monday,23,Summer,0,0,8402.29,83.615,0.0,0.0,0.0,23.16,96.04,2.79,1.5,0.0,81.275,90.795,72.45,0.0,0.0,0.0,2.861666666666667,912.15,260.57,7.009623147185378,0,0,1
9/1/2018 00:00,2018,1,January,9,1,Tuesday,0,Summer,0,0,7896.18,79.47,0.0,0.0,0.0,23.12,95.97,2.63,1.5,0.0,83.615,87.345,68.165,0.0,0.0,0.0,0.0,912.15,260.57,0.0,0,0,1
